parameter_name,parameter_value,scene_seed,b1_wsr,b2_wsr,b3_wsr,b4_wsr,b5_wsr,proposed_wsr
p_dl_max,0.2,8001,7.965129819548401,9.387190164441767,6.573848062420629,5.7079312672159865,2.711670367826522,9.665117106909491
p_dl_max,0.2,8002,7.670899122592574,8.965842641743158,6.839691268287437,5.154117640162047,2.6880498723327513,9.51911893410469
p_dl_max,0.2,8003,8.115838169365475,8.881231098647014,6.560916806816488,5.454619684970412,2.559160514664147,9.437841666989613
p_dl_max,0.5,8001,7.579804482798029,10.133241901117007,7.258440966511156,6.140312315675871,2.8783757249448807,10.454352806768679
p_dl_max,0.5,8002,8.555589445848168,9.735260792499986,7.3855315132004815,5.574874290678097,2.726421087877525,10.37341144664852
p_dl_max,0.5,8003,8.42725807788708,9.759367637242777,7.207684755784971,5.812819006398733,2.7264257103537495,10.670648402611851
p_dl_max,1.0,8001,8.43429716740991,10.59041912411183,7.829040627776086,6.470819119007356,3.064073629210867,11.001612568664072
p_dl_max,1.0,8002,8.45971634215669,10.314807399880067,7.8477476482958,5.901375616825838,2.8296714238311704,10.859006836214562
p_dl_max,1.0,8003,8.224625151639021,10.543928866130575,7.756684293644977,6.082949773946507,2.9124599865246585,11.012617056214117
p_dl_max,1.5,8001,8.85471698223879,10.915452058077307,8.17267512937831,6.664846428589747,3.194204255342811,11.237031348582793
p_dl_max,1.5,8002,8.42089238872466,10.647249246615345,8.132529459664388,6.094054952154965,2.9234796385722577,11.190414055924963
p_dl_max,1.5,8003,8.643603534632652,11.00510779354276,8.096393117317302,6.24602076552158,3.0420534409618316,11.435905533076905
p_dl_max,2.0,8001,8.490662353459111,11.17156288165451,8.416819860231124,6.802702471211452,3.294925884523809,11.357281684117552
p_dl_max,2.0,8002,8.82290503903261,10.889520222132733,8.338084509531868,6.231236072512228,3.0041857766820046,11.43724342157332
p_dl_max,2.0,8003,8.491853020072519,10.935036678986014,8.343262844106597,6.36503096628058,3.1412449920288545,11.57362839326824
