parameter_name,parameter_value,scene_seed,b1_wsr,b2_wsr,b3_wsr,b4_wsr,b5_wsr,proposed_wsr
cable_length,0.5,8001,8.37502430007294,10.452049786538387,7.829040627776086,5.904020507739025,3.064073629210867,10.940538785254745
cable_length,0.5,8002,9.158554444971275,10.251224675351128,7.8477476482958,5.975424370639583,2.8296714238311704,11.012665824024195
cable_length,0.5,8003,8.320144405968225,10.585101854752146,7.756684293644977,6.262281943367222,2.9124599865246585,10.650345330403342
cable_length,0.75,8001,8.187218778380263,10.263774304783801,7.829040627776086,5.712747976491315,3.064073629210867,10.904255127194778
cable_length,0.75,8002,8.69760970915011,10.212256462818722,7.8477476482958,6.010725312809138,2.8296714238311704,10.772548916496202
cable_length,0.75,8003,8.804294106406541,10.821868332561342,7.756684293644977,6.786451340919626,2.9124599865246585,11.203871625704076
cable_length,1.0,8001,8.43429716740991,10.59041912411183,7.829040627776086,6.470819119007356,3.064073629210867,11.001612568664072
cable_length,1.0,8002,8.45971634215669,10.314807399880067,7.8477476482958,5.901375616825838,2.8296714238311704,10.859006836214562
cable_length,1.0,8003,8.224625151639021,10.543928866130575,7.756684293644977,6.082949773946507,2.9124599865246585,11.012617056214117
cable_length,1.25,8001,8.671881731120246,10.457077312330991,7.829040627776086,5.896185281949542,3.064073629210867,10.898865916379403
cable_length,1.25,8002,8.518532714783113,10.769601438568055,7.8477476482958,6.400186007601384,2.8296714238311704,10.927544934483363
cable_length,1.25,8003,8.72915597618929,10.456898855784342,7.756684293644977,6.225137090989843,2.9124599865246585,11.062949433561839
cable_length,1.5,8001,9.611342697777552,10.478267215365932,7.829040627776086,6.131287417667361,3.064073629210867,10.920638101339543
cable_length,1.5,8002,8.62537111945568,10.117517251859962,7.8477476482958,5.800716266420674,2.8296714238311704,10.991683242696883
cable_length,1.5,8003,9.009235974267323,10.502170428023108,7.756684293644977,6.294981042539388,2.9124599865246585,11.153164492721478
