parameter_name,parameter_value,scene_seed,b1_wsr,b2_wsr,b3_wsr,b4_wsr,b5_wsr,proposed_wsr
rho_si,1e-10,8001,8.498322215998382,10.590144846719314,7.829614699253056,6.470448524873604,3.0663406636931754,11.00162851801051
rho_si,1e-10,8002,8.751750215007469,10.31477213636286,7.847490895656123,5.901573685220969,2.829332682064356,10.85851248422352
rho_si,1e-10,8003,9.298052266404657,10.543663756184714,7.75576783919701,6.083386638519752,2.9106316170039603,11.010611564470366
rho_si,1e-09,8001,8.756533862670633,10.590214288695861,7.829480665774894,6.470542555057143,3.065799098201926,11.001457746490221
rho_si,1e-09,8002,8.115933718530334,10.314780014503604,7.847554589706698,5.901529871198637,2.8294178187645245,10.858508934076355
rho_si,1e-09,8003,8.295530440129856,10.54373352941108,7.75599128622086,6.083284302379498,2.911077520412599,11.010197938295107
rho_si,1e-08,8001,8.43429716740991,10.59041912411183,7.829040627776086,6.470819119007356,3.064073629210867,11.001612568664072
rho_si,1e-08,8002,8.45971634215669,10.314807399880067,7.8477476482958,5.901375616825838,2.8296714238311704,10.859006836214562
rho_si,1e-08,8003,8.224625151639021,10.543928866130575,7.756684293644977,6.082949773946507,2.9124599865246585,11.012617056214117
rho_si,1e-07,8001,8.99371452284968,10.590921088649804,7.827586535673014,6.471486134162623,3.058492481937386,10.999666004207445
rho_si,1e-07,8002,8.637531123687216,10.314919038463929,7.848293736767692,5.900730933673012,2.8303170092972594,10.858888968641732
rho_si,1e-07,8003,8.29208753019078,10.543279319750074,7.758742474705944,6.081782935213002,2.916548617034117,11.016269986175924
rho_si,1e-06,8001,9.111606858965933,10.593224064571672,7.822088032113498,6.471536783244861,3.039721181256181,10.999410450381
rho_si,1e-06,8002,8.801495401573604,10.315532387496798,7.849113356077044,5.897130396281725,2.8307931193349782,10.859923558100096
rho_si,1e-06,8003,8.795431697985777,10.54531120257052,7.763897656508868,6.07701072105397,2.9264303905714053,11.03810125070892
